id;statut;ref_arduino;date_crea;libelle;marque;type
1;false;Sausages navigating;2022-01-29T06:19:57;input SCSI;redundant Chair Bedfordshire;CAPTEUR
2;true;Kids Market Superviseur;2022-01-29T16:37:00;deposit Persevering Kyat;c Keyboard;ACTUATEUR
3;true;Ouguiya Bedfordshire;2022-01-29T15:55:01;Health initiative;salmon compressing;SIMPLE
4;true;Balanced engineer;2022-01-29T13:37:34;Games;c;CAPTEUR
5;false;multi-byte Electronics;2022-01-29T07:08:40;Chips website c;invoice Ergonomic;ACTUATEUR
6;false;Team-oriented solid web;2022-01-29T06:57:38;Movies revolutionary;Kyat Dollar Unbranded;ACTUATEUR
7;false;Metal;2022-01-29T18:19:24;Gloves;Rubber Avon;ACTUATEUR
8;false;projection;2022-01-29T13:11:07;b;open-source Automotive transmit;ACTUATEUR
9;false;b c;2022-01-29T00:09:52;digital;Manager Borders quantifying;ACTUATEUR
10;false;multi-byte invoice;2022-01-29T06:47:37;Nord-Pas-de-Calais red collaboration;Sausages Practical;CAPTEUR
